2290,5422,5202,945,490,1531,492,1114,2672,5034
117,119,118,74,120,402,121,123,1005,1256
119,118,116,2602,87,65,823,55,236,1854
119,117,116,402,120,124,87,1191,1667,762
117,118,116,87,236,88,231,284,227,213
121,1256,402,224,252,737,225,126,123,74
1256,120,737,402,123,224,225,74,126,116
145,4425,1431,1007,200,480,1739,167,201,195
6031,1256,121,737,200,120,46,126,74,198
125,126,1420,1148,219,2391,411,53,5322,402
124,126,1420,2391,167,343,65,75,4776,236
124,125,93,6031,1256,74,120,402,121,123
143,1003,997,1004,141,1817,996,994,410,983
184,1072,1040,1206,2913,5199,1235,941,64,206
776,555,1866,4177,568,1470,394,1350,1180,3941
5257,4760,815,3251,3933,3827,3864,3412,738,1688
37,132,314,611,313,212,437,439,440,663
36,1374,613,1375,728,37,73,131,1209,4255
254,81,82,134,589,135,153,132,1807,58
135,133,1637,2345,136,342,265,81,254,137
134,133,477,1637,136,5236,81,137,138,132
137,138,81,238,254,82,135,57,239,1216
136,138,254,1572,82,81,239,238,303,1216
137,136,32,82,254,149,81,132,1912,239
887,343,236,219,55,65,49,75,154,402
179,56,55,3125,736,65,474,823,217,4003
143,127,1003,1004,997,738,996,995,251,232
366,409,107,199,3315,538,1012,264,4650,328
127,141,1003,997,1004,1817,996,983,410,993
762,2602,87,163,88,403,2319,1660,292,3320
4425,1431,122,1007,389,703,493,994,6009,727
604,70,3622,4090,5395,1793,4117,207,4083,4683
172,5639,3155,5840,1802,171,5612,3086,1364,331
485,2951,855,344,4204,110,745,1856,5430,5854
254,82,81,479,743,589,138,2088,3517,1216
26,179,1000,4284,15,236,1149,3310,4,16
152,352,333,181,578,561,5835,1814,560,5935
151,333,336,741,561,578,352,354,1079,5935
589,1807,81,82,254,3323,238,1136,239,500
41,43,219,159,49,39,44,46,45,158
48,156,46,167,47,39,40,513,45,158
155,48,46,167,47,45,39,40,513,157
44,43,42,808,159,2959,46,39,45,41
49,46,44,159,47,42,45,48,39,43
44,43,42,46,45,39,157,158,41,2959
159,45,43,42,44,39,46,41,157,158
2959,808,41,45,159,39,42,157,1724,46
166,91,90,289,290,163,243,89,1033,95
289,1033,89,90,91,166,162,2319,762,144
447,165,1813,1659,1232,3820,1835,1375,1713,36
