GameID,Name,Genre,ESRB,Platform,Publisher,Developer,Score,Year,URL
6124,rotastic,puzzle,,xbl,focus home interactive,dancing dots,5,2011,/games/boxart/full_rotastic_845AmericaFront.jpg
6125,rugby world cup 2011,sports,e,xbl,505 games,hb studios multimedia,4.8,2011,/games/boxart/full_rugby-world-cup-2011_446AmericaFront.jpg
6126,rugby world cup 2011,sports,e,psn,505 games,hb studios multimedia,4.5,2011,/games/boxart/full_rugby-world-cup-2011_956AmericaFront.jpg
6127,runespell: overture,role-playing,,pc,unknown,mystic box,7.4,2011,/games/boxart/full_runespell-overture_85AmericaFront.jpg
6128,rush'n attack: ex-patriot,platform,m,psn,konami,vatra games,4.9,2011,/games/boxart/full_rushn-attack-ex-patriot_680AmericaFront.jpg
6129,rush'n attack: ex-patriot,platform,m,xbl,konami,vatra games,4.9,2011,/games/boxart/full_rushn-attack-ex-patriot_308AmericaFront.jpg
6130,rusty hearts,role-playing,,pc,perfect world entertainment,stairway games,7.4,2011,/games/boxart/default.jpg
6131,sackboy's prehistoric moves,platform,e,psn,sony computer entertainment,xdev,6.7,2010,/games/boxart/full_sackboys-prehistoric-moves_651AmericaFront.jpg
6132,saints row 2,action,,psn,thq,volition inc.,8.3,2011,/games/boxart/full_saints-row-2_486America.jpg
6133,samba de amigo,misc,e,dc,sega,sonic team,7.6,2000,/games/boxart/9460137ccc.jpg
6134,samba de amigo ver. 2000,misc,,dc,sega,sonic team,9.6,2000,/games/boxart/full_3074885JapanFrontccc.jpg
6135,san francisco rush 2049,racing,e,dc,midway games,midway,8.1,2000,/games/boxart/7014588ccc.jpg
6136,sanctum,strategy,,pc,unknown,coffee stain studios,7.3,2011,/games/boxart/full_sanctum_205AmericaFront.jpg
6137,save the turtles,puzzle,e,dsiw,sabarasa entertainment,sabarasa entertainment,8,2010,/games/boxart/full_6179293AmericaFrontccc.jpg
6138,schizoid,action,e,xbl,microsoft,torpex games llc,5,2008,/games/boxart/full_734840AmericaFrontccc.jpg
6139,scott pilgrim vs. the world,action,t,psn,ubisoft,ubisoft montreal,7.7,2010,/games/boxart/full_scott-pilgrim-vs-the-world_4AmericaFront.jpg
6140,scott pilgrim vs. the world,action,t,xbl,ubisoft,ubisoft montreal,8.2,2010,/games/boxart/full_scott-pilgrim-vs-the-world_2AmericaFront.jpg
6141,scramble,shooter,e,xbl,konami,digital eclipse,5.2,2006,/games/boxart/full_4652173AmericaFrontccc.jpg
6142,scrap metal,racing,e10,xbl,microsoft,slick entertainment,7.6,2010,/games/boxart/full_739746AmericaFrontccc.jpg
6143,sea of thieves,action-adventure,,pc,microsoft studios,rare ltd.,6.7,2018,/games/boxart/full_6235271AmericaFrontccc.jpg
6144,seaworld adventure parks tycoon,strategy,e,pc,activision,activision,5.9,2003,/games/boxart/full_6125100AmericaFrontccc.jpg
6145,secret of mana,role-playing,e10,vc,square enix,squaresoft,9,2008,/games/boxart/3217649ccc.jpg
6146,section 8: prejudice,shooter,t,pc,timegate studios,timegate studios,7.6,2011,/games/boxart/full_section-8-prejudice_358AmericaFront.jpg
6147,section 8: prejudice,shooter,t,ps3,unknown,timegate studios,6.8,2011,/games/boxart/default.jpg
6148,section 8: prejudice,shooter,t,x360,timegate studios,timegate studios,7.9,2011,/games/boxart/full_section-8-prejudice_107AmericaFront.jpg
6149,sega bass fishing,sports,e,dc,sega,sims,8.2,1999,/games/boxart/3474952ccc.jpg
6150,sega bass fishing 2,sports,e,dc,sega,wow entertainment,7.9,2001,/games/boxart/full_277684AmericaFrontccc.jpg
6151,sega marine fishing,sports,e,dc,sega,wow entertainment,7.9,2000,/games/boxart/4999600ccc.jpg
6152,sega smash pack volume 1,misc,t,dc,sega,sega,5.8,2001,/games/boxart/full_5949862AmericaFrontccc.jpg
6153,sega swirl,puzzle,e,dc,sega,tremor entertainment,8.6,2000,/games/boxart/5899763ccc.jpg
6154,sengoku turb,action,,dc,nec,nec interchannel,5.1,1999,/games/boxart/full_7635499JapanFrontccc.jpg
6155,serious sam hd: the first encounter,shooter,m,xbl,majesco,croteam,7,2010,/games/boxart/full_9851696AmericaFrontccc.jpg
6156,serious sam: the random encounter,role-playing,,pc,devolver digital,vlambeer,6.5,2011,/games/boxart/full_serious-sam-the-random-encounter_459AmericaFront.jpg
6157,seven kingdoms: conquest,strategy,t,pc,enlight,enlight software,3.5,2007,/games/boxart/2533648ccc.jpg
6158,seventh cross evolution,role-playing,t,dc,ufo interactive,atypical alchemists associate,4.9,1998,/games/boxart/8939139ccc.jpg
6159,sexy poker,misc,m,ww,gameloft,gameloft,4.1,2009,/games/boxart/full_9790933AmericaFrontccc.jpg
6160,shadow complex,shooter,t,xbl,microsoft,chair entertainment group,8.9,2009,/games/boxart/full_3311995AmericaFrontccc.jpg
6161,shadow harvest: phantom ops,shooter,m,pc,viva media,black lion studios,3.5,2011,/games/boxart/full_shadow-harvest-phantom-ops_169AmericaFront.jpg
6162,shadow man,action,m,dc,acclaim entertainment,acclaim studios teesside,8.2,1999,/games/boxart/full_4060508AmericaFrontccc.jpg
6163,shadowgrounds,shooter,m,pc,meridian4,frozenbyte,6.8,2006,/games/boxart/full_3951358AmericaFrontccc.jpg
6164,shadowgrounds survivor,shooter,m,pc,meridian4,frozenbyte,7.3,2007,/games/boxart/full_9523342AmericaFrontccc.jpg
6165,shank,action,m,xbl,electronic arts,klei entertainment,7.1,2010,/games/boxart/full_shank_7AmericaFront.jpg
6166,shank,action,m,pc,electronic arts,klei entertainment,6.7,2010,/games/boxart/full_shank_852AmericaFront.jpg
6167,shank,action,m,psn,electronic arts,klei entertainment,6.9,2010,/games/boxart/full_shank_6AmericaFront.jpg
6168,shantae,platform,e,gb,capcom,wayforward technologies,8.4,2002,/games/boxart/full_2282749AmericaFrontccc.jpg
6169,shantae: half-genie hero,platform,t,pc,wayforward technologies,way forward technologies,9,2016,/games/boxart/full_1937660AmericaFrontccc.png
6170,shantae: risky's revenge,platform,e10,dsiw,wayforward,wayforward technologies,8.1,2010,/games/boxart/full_shantae-riskys-revenge_1AmericaFront.jpg
6171,shatter,puzzle,e,psn,sidhe interactive,sidhe interactive,8.4,2009,/games/boxart/full_shatter_596AmericaFront.jpg
6172,shattered horizon,shooter,t,pc,futuremark games studio,futuremark games studio,6.8,2009,/games/boxart/full_5595484AmericaFrontccc.jpg
6173,shaun white skateboarding,sports,t,xbl,ubisoft,ubisoft montreal,6.1,2011,/games/boxart/full_shaun-white-skateboarding_305AmericaFront.jpg
6174,sheep,strategy,e,gba,capcom,empire interactive,7.3,2002,/games/boxart/full_4433819AmericaFrontccc.jpg
6175,shift extended,puzzle,t,psn,zallag,fishing cactus,8,2011,/games/boxart/full_shift-extended_6PALFront.png
6176,shin megami tensei: persona,role-playing,t,psn,atlus,atlus co.,7.5,2009,/games/boxart/full_shin-megami-tensei-persona_9AmericaFront.jpg
6177,shin megami tensei: persona 2: innocent sin,role-playing,,psn,atlus,atlus co.,7,2011,/games/boxart/full_persona-2-innocent-sin_739JapanFront.jpg
6178,shin megami tensei: persona 3 portable,role-playing,m,psn,atlus,atlus co.,8.9,2010,/games/boxart/full_shin-megami-tensei-persona-3-portable_0AmericaFront.jpg
6179,shining force: the legacy of great intention,strategy,e,vc,sega,climax entertainment/sonic team,8,2007,/games/boxart/4083830ccc.jpg
6180,shogun: total war - warlord edition,strategy,t,pc,electronic arts,the creative assembly,8.6,2001,/games/boxart/full_2537516AmericaFrontccc.jpg
6181,shoot 1up,shooter,,xbl,microsoft game studios,mommy's best games,8,2010,/games/boxart/full_1011812AmericaFrontccc.jpg
6182,shrek 2,platform,e,gba,activision,vicarious visions,6.7,2004,/games/boxart/full_6919902AmericaFrontccc.jpg
6183,sid meier's alpha centauri,strategy,e,pc,electronic arts,firaxis games,9.4,1999,/games/boxart/3515373ccc.jpg
6184,sid meier's gettysburg!,strategy,e,pc,electronic arts,firaxis games,9.3,1997,/games/boxart/full_4145610AmericaFrontccc.jpg
6185,sideway: new york,platform,,psn,sony online entertainment,playbrains / fuel industries,7,2011,/games/boxart/full_sideway-new-york_55AmericaFront.jpg
6186,silent hunter: wolves of the pacific u-boat missions expansion,simulation,t,pc,ubisoft,ubisoft romania,7,2008,/games/boxart/full_5585269AmericaFrontccc.jpg
6187,silent scope,shooter,m,dc,konami,kcet,6.9,2000,/games/boxart/full_2475869AmericaFrontccc.jpg
6188,silpheed,shooter,,scd,sega,game arts,7,1993,/games/boxart/5832576ccc.jpg
6189,silver,role-playing,t,dc,infogrames,spiral house,6.9,2000,/games/boxart/9756329ccc.jpg
6190,sim city 4: rush hour,simulation,e,pc,electronic arts,microsoft,7,1986,/games/boxart/6044840ccc.gif
6191,simcity,simulation,e,vc,nintendo,intelligent systems,7.5,2006,/games/boxart/2872255ccc.gif
6192,simcity 2000,simulation,,n64,imagineer,genki,3.5,1998,/games/boxart/full_2784233JapanFrontccc.jpg
6193,simply minesweeper,puzzle,e,dsiw,engine software,engine software,6,2011,/games/boxart/full_simply-minesweeper_207AmericaFront.jpg
6194,sin and punishment,shooter,t,vc,nintendo,"treasure co., ltd.",9,2007,/games/boxart/full_8638379JapanFrontccc.gif
6195,siren: blood curse episodes 5-8,action-adventure,m,psn,sony computer entertainment,sce japan studio,8,2008,/games/boxart/full_siren-blood-curse-episodes-5-8_7AmericaFront.jpg
6196,siren: blood curse episodes 9-12,action-adventure,m,psn,sony computer entertainment,sce japan studio,8,2008,/games/boxart/full_siren-blood-curse-episodes-9-12_8AmericaFront.jpg
6197,ski resort tycoon,strategy,e,pc,head games,cat daddy games,7.4,2000,/games/boxart/full_4470997AmericaFrontccc.jpg
6198,skydrift,racing,e10,psn,unknown,digital reality,7.5,2011,/games/boxart/full_skydrift_345AmericaFront.jpg
6199,skydrift,racing,e10,xbl,unknown,digital reality,7.5,2011,/games/boxart/full_skydrift_530AmericaFront.jpg
6200,slave zero,action,t,dc,infogrames,accolade,5.7,1999,/games/boxart/406403ccc.jpg
6201,small arms,action,e10,xbl,gastronaut studios,gastronaut studios,6.7,2006,/games/boxart/full_2580192AmericaFrontccc.jpg
